Customer ID,Gender,Age,Income (USD/Month),age_group
1217,Male,51,3122,46-65
2039,Male,32,19358,26-35
590,Male,62,18608,46-65
2828,Male,28,15198,26-35
98,Male,35,12557,26-35
591,Male,39,19842,36-45
2146,Male,31,16697,26-35
16700,Male,32,3161,26-35
15732,Male,38,15171,36-45
15400,Male,48,2363,46-65
16786,Male,55,20325,46-65
17470,Male,30,22310,26-35
15487,Male,64,4615,46-65
22557,Male,38,8808,36-45
22469,Male,37,4378,36-45
50246,Male,28,3616,26-35
48443,Male,64,3605,46-65
47364,Male,35,11059,26-35
46934,Male,46,18329,46-65
45834,Male,23,19821,18-25
20330,Male,53,28591,46-65
20687,Male,39,8926,36-45
20206,Male,18,24295,18-25
19851,Male,25,9085,18-25
18893,Male,39,7144,36-45
18179,Male,40,9175,36-45
18556,Male,24,29066,18-25
20552,Male,19,19174,18-25
19699,Male,38,15794,36-45
19462,Male,60,18407,46-65
19038,Male,39,11046,36-45
18849,Male,20,6780,18-25
18418,Male,39,13112,36-45
20760,Male,36,24307,36-45
20474,Male,21,11296,18-25
18656,Male,33,15077,26-35
18865,Male,35,32151,26-35
18817,Male,40,5038,36-45
19185,Male,19,30500,18-25
18488,Male,37,22441,36-45
19961,Male,29,24779,26-35
18498,Male,19,17313,18-25
20869,Male,58,8692,46-65
18241,Male,39,28198,36-45
18314,Male,35,14404,26-35
20752,Male,63,18683,46-65
20745,Male,32,3420,26-35
20848,Male,30,17251,26-35
18363,Male,32,8031,26-35
18088,Male,31,11701,26-35
18798,Male,35,5678,26-35
18490,Male,24,10573,18-25
18838,Male,41,3297,36-45
43177,Male,52,3266,46-65
44348,Male,22,29304,18-25
44599,Male,35,5157,26-35
44264,Male,41,13981,36-45
43369,Male,31,18561,26-35
44174,Male,28,2065,26-35
42366,Male,37,17057,36-45
42276,Male,45,11564,36-45
42899,Male,20,21394,18-25
42066,Male,49,15619,46-65
42141,Male,35,23215,26-35
43099,Male,46,21994,46-65
44175,Male,39,12593,36-45
42641,Male,21,16987,18-25
42039,Male,62,21380,46-65
44863,Male,19,16126,18-25
43536,Male,28,23695,26-35
42739,Male,25,20971,18-25
42970,Male,49,16980,46-65
43729,Male,37,14015,36-45
42330,Male,50,34001,46-65
44656,Male,20,9352,18-25
44379,Male,30,21510,26-35
43571,Male,49,7162,46-65
42242,Male,40,11404,36-45
42332,Male,54,18194,46-65
42538,Male,33,18908,26-35
44107,Male,50,34959,46-65
44274,Male,25,5584,18-25
42548,Male,20,3188,18-25
42682,Male,43,16542,36-45
43988,Male,18,5299,18-25
43499,Male,52,17294,46-65
43630,Male,39,8958,36-45
42493,Male,38,2039,36-45
43000,Male,39,22864,36-45
44526,Male,24,23908,18-25
43508,Male,33,3549,26-35
42918,Male,50,19251,46-65
42996,Male,22,14558,18-25
44874,Male,30,3123,26-35
43516,Male,34,9629,26-35
42748,Male,23,3472,18-25
44711,Male,32,11254,26-35
44224,Male,55,28449,46-65
42056,Male,33,7016,26-35
43602,Male,56,15321,46-65
44100,Male,35,10914,26-35
42535,Male,23,22264,18-25
43521,Male,64,14366,46-65
44511,Male,52,7443,46-65
44585,Male,32,23849,26-35
42567,Male,36,14250,36-45
43331,Male,49,6829,46-65
42954,Male,19,24014,18-25
44752,Male,19,23540,18-25
42654,Male,33,27842,26-35
42890,Male,30,13093,26-35
43579,Male,28,19686,26-35
44301,Male,31,7105,26-35
43169,Male,40,30769,36-45
44905,Male,64,3560,46-65
42461,Male,58,17760,46-65
42784,Male,31,6505,26-35
44422,Male,50,16221,46-65
44193,Male,48,8476,46-65
43451,Male,26,13571,26-35
42740,Male,23,22997,18-25
42110,Male,21,15310,18-25
44277,Male,29,8831,26-35
44667,Male,35,4662,26-35
42960,Male,55,23493,46-65
43706,Male,24,20052,18-25
43708,Male,25,10396,18-25
42499,Male,25,8663,18-25
44186,Male,39,10211,36-45
43614,Male,23,15421,18-25
43126,Male,23,16630,18-25
42979,Male,55,20490,46-65
44745,Male,60,23256,46-65
44054,Male,36,3487,36-45
42808,Male,22,2585,18-25
42796,Male,57,9120,46-65
42793,Male,37,2964,36-45
44966,Male,27,11725,26-35
43623,Male,38,19645,36-45
44343,Male,32,13167,26-35
42136,Male,43,15685,36-45
44693,Male,36,16856,36-45
42842,Male,42,21006,36-45
43715,Male,20,8302,18-25
42074,Male,36,16922,36-45
44652,Male,42,5229,36-45
42296,Male,26,7585,26-35
42195,Male,39,22565,36-45
44048,Male,36,23220,36-45
44062,Male,26,22558,26-35
42656,Male,19,24603,18-25
42578,Male,43,21082,36-45
42217,Male,24,8654,18-25
42537,Male,27,8282,26-35
44016,Male,25,14344,18-25
44210,Male,65,23830,46-65
42252,Male,60,13539,46-65
43737,Male,19,21714,18-25
43265,Male,20,30591,18-25
43151,Male,36,15163,36-45
44261,Male,52,16113,46-65
44818,Male,37,31656,36-45
43699,Male,40,21090,36-45
42259,Male,29,25915,26-35
44253,Male,41,5444,36-45
42372,Male,19,16586,18-25
42857,Male,32,8079,26-35
43990,Male,33,9352,26-35
44240,Male,30,18723,26-35
43445,Male,23,23765,18-25
42742,Male,36,4190,36-45
43815,Male,39,6685,36-45
44594,Male,21,33049,18-25
44316,Male,25,28623,18-25
42571,Male,60,19294,46-65
43020,Male,59,15032,46-65
42803,Male,37,27013,36-45
43541,Male,63,10406,46-65
43203,Male,40,6717,36-45
44091,Male,64,22292,46-65
44089,Male,37,19927,36-45
42615,Male,47,19145,46-65
43344,Male,31,16201,26-35
44430,Male,54,8114,46-65
43939,Male,44,16990,36-45
43584,Male,31,24527,26-35
44907,Male,25,16130,18-25
44336,Male,22,3326,18-25
43326,Male,34,2367,26-35
44297,Male,40,14753,36-45
36512,Male,27,8266,26-35
36850,Male,64,21151,46-65
37896,Male,39,7143,36-45
37800,Male,61,2687,46-65
37113,Male,51,15251,46-65
38915,Male,52,14358,46-65
36691,Male,28,6491,26-35
38274,Male,24,14519,18-25
38641,Male,24,13801,18-25
37641,Male,21,5105,18-25
38247,Male,25,12196,18-25
38256,Male,22,25930,18-25
37005,Male,40,23282,36-45
38635,Male,31,24682,26-35
38494,Male,33,33892,26-35
14850,Male,39,14563,36-45
13157,Male,38,7082,36-45
13717,Male,34,22568,26-35
13231,Male,61,22435,46-65
13258,Male,36,13202,36-45
13499,Male,38,23529,36-45
13166,Male,19,21371,18-25
14340,Male,42,5484,36-45
12335,Male,24,4742,18-25
12072,Male,35,18743,26-35
13090,Male,40,17601,36-45
14260,Male,54,29579,46-65
39975,Male,40,7931,36-45
39941,Male,34,19034,26-35
51779,Male,28,7138,26-35
52586,Male,35,10935,26-35
53334,Male,26,20875,26-35
51011,Male,53,24173,46-65
52067,Male,58,26619,46-65
51693,Male,40,11533,36-45
51246,Male,61,2035,46-65
52733,Male,36,24748,36-45
53094,Male,24,5686,18-25
52284,Male,23,12062,18-25
52185,Male,44,4154,36-45
51082,Male,40,3357,36-45
27602,Male,23,8542,18-25
27594,Male,28,3901,26-35
27884,Male,32,13505,26-35
28533,Male,39,28386,36-45
29039,Male,35,17761,26-35
28102,Male,39,14181,36-45
29494,Male,28,5644,26-35
27891,Male,24,14593,18-25
29651,Male,23,2175,18-25
27440,Male,24,20462,18-25
29599,Male,27,12948,26-35
27228,Male,24,15170,18-25
27705,Male,61,5002,46-65
29009,Male,28,15771,26-35
29558,Male,27,9555,26-35
27092,Male,32,9572,26-35
29443,Male,46,2641,46-65
28932,Male,40,21303,36-45
29559,Male,20,2571,18-25
27749,Male,19,13576,18-25
29675,Male,27,22560,26-35
29159,Male,35,23267,26-35
28115,Male,62,12759,46-65
28137,Male,36,10164,36-45
33771,Male,31,23347,26-35
35061,Male,60,23386,46-65
33730,Male,18,18347,18-25
33676,Male,27,11312,26-35
34040,Male,60,28973,46-65
57195,Male,36,24487,36-45
59288,Male,56,11798,46-65
57824,Male,54,16714,46-65
59580,Male,19,8104,18-25
57825,Male,33,12736,26-35
59807,Male,39,7465,36-45
57102,Male,32,17384,26-35
59062,Male,23,18679,18-25
57874,Male,29,23489,26-35
59419,Male,18,12819,18-25
57990,Male,57,8992,46-65
59588,Male,20,5136,18-25
58056,Male,59,15680,46-65
59272,Male,38,34968,36-45
57854,Male,65,5477,46-65
58656,Male,51,20735,46-65
57474,Male,34,16558,26-35
58500,Male,22,11869,18-25
58838,Male,27,14257,26-35
59310,Male,38,15387,36-45
58665,Male,22,6332,18-25
59961,Male,61,12377,46-65
58742,Male,24,4884,18-25
59793,Male,28,4666,26-35
59825,Male,47,7434,46-65
57691,Male,20,17247,18-25
57758,Male,52,12831,46-65
58476,Male,59,19346,46-65
57180,Male,21,16256,18-25
57153,Male,25,18975,18-25
59838,Male,32,30467,26-35
59301,Male,58,29692,46-65
57911,Male,34,24656,26-35
58805,Male,33,3550,26-35
58773,Male,30,30859,26-35
59006,Male,19,16321,18-25
59255,Male,31,16847,26-35
57060,Male,63,22741,46-65
57947,Male,21,12866,18-25
58434,Male,29,29874,26-35
58945,Male,31,5853,26-35
57622,Male,28,25756,26-35
57234,Male,35,33282,26-35
58480,Male,25,22925,18-25
58898,Male,46,11881,46-65
59824,Male,18,7809,18-25
58951,Male,24,2698,18-25
57222,Male,38,17669,36-45
59896,Male,36,19514,36-45
58888,Male,34,14889,26-35
57661,Male,30,13403,26-35
59144,Male,46,13079,46-65
59367,Male,19,21656,18-25
57812,Male,24,24415,18-25
4269,Male,61,19370,46-65
3059,Male,39,12233,36-45
5679,Male,41,3023,36-45
3617,Male,34,18886,26-35
5402,Male,32,17109,26-35
4118,Male,32,14390,26-35
3066,Male,35,16730,26-35
4408,Male,20,24508,18-25
3836,Male,25,24757,18-25
3243,Male,24,11661,18-25
4678,Male,41,33706,36-45
5882,Male,45,16380,36-45
5359,Male,40,13359,36-45
3167,Male,20,34838,18-25
3408,Male,35,13421,26-35
5249,Male,37,22551,36-45
5092,Male,51,23767,46-65
4581,Male,34,22611,26-35
5438,Male,32,6295,26-35
4820,Male,29,8613,26-35
5822,Male,41,3032,36-45
3110,Male,19,8485,18-25
4192,Male,30,19809,26-35
5970,Male,21,9380,18-25
5993,Male,50,14405,46-65
3363,Male,31,23320,26-35
4439,Male,18,28001,18-25
5077,Male,36,4443,36-45
3750,Male,30,18854,26-35
5031,Male,55,12981,46-65
5161,Male,23,10012,18-25
5773,Male,33,26038,26-35
5816,Male,19,14849,18-25
3295,Male,53,22999,46-65
3664,Male,30,8900,26-35
4615,Male,31,2042,26-35
4772,Male,35,12641,26-35
4802,Male,33,27306,26-35
3020,Male,49,6602,46-65
5067,Male,34,4604,26-35
3778,Male,31,12755,26-35
4924,Male,47,4895,46-65
4710,Male,40,3893,36-45
3597,Male,37,8526,36-45
3718,Male,19,11702,18-25
5322,Male,32,16284,26-35
5806,Male,34,21493,26-35
5803,Male,54,4964,46-65
4413,Male,43,11459,36-45
5704,Male,32,23540,26-35
4429,Male,20,23387,18-25
5633,Male,49,23206,46-65
4712,Male,35,3718,26-35
3496,Male,32,14773,26-35
3080,Male,39,6142,36-45
4856,Male,35,15138,26-35
4551,Male,19,6316,18-25
3820,Male,39,18836,36-45
5285,Male,42,12023,36-45
5728,Male,19,2827,18-25
5682,Male,48,23694,46-65
3487,Male,29,18874,26-35
3377,Male,58,12588,46-65
4671,Male,26,7570,26-35
5203,Male,26,9153,26-35
5268,Male,25,2062,18-25
3552,Male,34,24381,26-35
5523,Male,35,9888,26-35
5329,Male,24,16316,18-25
4866,Male,18,28443,18-25
5957,Male,28,3478,26-35
4448,Male,19,19744,18-25
4740,Male,57,18703,46-65
3322,Male,29,8254,26-35
4425,Male,22,5057,18-25
5602,Male,23,10403,18-25
3194,Male,25,30691,18-25
5354,Male,35,23957,26-35
4489,Male,21,32132,18-25
3420,Male,40,13824,36-45
4381,Male,26,24643,26-35
5919,Male,30,13174,26-35
4447,Male,65,16440,46-65
5922,Male,28,11215,26-35
3144,Male,34,22671,26-35
5794,Male,61,23354,46-65
4315,Male,30,12947,26-35
4873,Male,62,15253,46-65
5581,Male,19,17245,18-25
3703,Male,35,23352,26-35
4939,Male,58,15177,46-65
4021,Male,35,30186,26-35
4837,Male,28,4655,26-35
5650,Male,45,6965,36-45
4243,Male,37,8978,36-45
5867,Male,36,2103,36-45
4664,Male,19,17895,18-25
5583,Male,27,7417,26-35
5641,Male,42,10027,36-45
4184,Male,49,10734,46-65
5702,Male,37,10067,36-45
5217,Male,60,27530,46-65
5515,Male,22,15169,18-25
4273,Male,19,12223,18-25
5395,Male,40,8497,36-45
4960,Male,20,23475,18-25
3072,Male,30,21922,26-35
3766,Male,33,11627,26-35
4319,Male,29,13481,26-35
5368,Male,24,20096,18-25
5551,Male,32,16217,26-35
4347,Male,41,3981,36-45
3272,Male,49,6972,46-65
4827,Male,38,22329,36-45
3104,Male,21,10748,18-25
4763,Male,25,14311,18-25
4962,Male,63,11383,46-65
5211,Male,35,10393,26-35
4573,Male,32,22204,26-35
4314,Male,56,16340,46-65
3471,Male,65,3574,46-65
4535,Male,39,19199,36-45
5017,Male,25,7445,18-25
4206,Male,28,6130,26-35
3853,Male,18,12259,18-25
4177,Male,26,20345,26-35
3866,Male,28,19659,26-35
3784,Male,22,14113,18-25
4520,Male,40,23361,36-45
5618,Male,36,17782,36-45
3988,Male,32,18601,26-35
4822,Male,31,6973,26-35
4204,Male,50,9145,46-65
3251,Male,23,13077,18-25
5642,Male,35,16965,26-35
4838,Male,27,21734,26-35
5132,Male,62,4317,46-65
4895,Male,33,11974,26-35
5177,Male,36,14125,36-45
3230,Male,19,14519,18-25
4284,Male,28,18446,26-35
3054,Male,19,30011,18-25
3025,Male,29,14154,26-35
3588,Male,44,2908,36-45
5594,Male,42,21768,36-45
3345,Male,33,3310,26-35
4137,Male,52,26702,46-65
4379,Male,24,5895,18-25
5126,Male,23,11911,18-25
5560,Male,65,2827,46-65
3870,Male,31,19648,26-35
3481,Male,46,3311,46-65
3697,Male,40,17907,36-45
5779,Male,42,13913,36-45
5102,Male,38,20464,36-45
3456,Male,33,14067,26-35
3215,Male,49,26870,46-65
4951,Male,23,12451,18-25
3753,Male,28,19516,26-35
5671,Male,24,7081,18-25
4521,Male,27,24007,26-35
5396,Male,26,21583,26-35
5674,Male,54,2365,46-65
3202,Male,21,8072,18-25
4844,Male,32,5548,26-35
5229,Male,64,7918,46-65
4346,Male,45,11327,36-45
5814,Male,29,6834,26-35
3777,Male,40,12240,36-45
4621,Male,44,8898,36-45
5181,Male,21,22837,18-25
5447,Male,27,23559,26-35
3780,Male,44,16275,36-45
3971,Male,18,24583,18-25
3035,Male,42,11417,36-45
25066,Male,63,12718,46-65
25151,Male,54,6371,46-65
26008,Male,28,5998,26-35
24950,Male,36,15855,36-45
25947,Male,30,19269,26-35
26688,Male,24,5134,18-25
26220,Male,24,5303,18-25
26351,Male,55,5370,46-65
25524,Male,19,33126,18-25
24916,Male,29,6565,26-35
24451,Male,34,26367,26-35
26299,Male,37,2729,36-45
25072,Male,54,25343,46-65
24002,Male,32,19414,26-35
25653,Male,54,3707,46-65
25445,Male,19,22488,18-25
24138,Male,35,10258,26-35
26290,Male,54,11678,46-65
25154,Male,18,7806,18-25
25241,Male,26,29634,26-35
24573,Male,32,2895,26-35
26935,Male,20,8135,18-25
26602,Male,45,20581,36-45
25639,Male,32,9074,26-35
26995,Male,42,12735,36-45
25106,Male,19,14957,18-25
26824,Male,26,9542,26-35
32400,Male,28,17950,26-35
31023,Male,19,6787,18-25
30696,Male,41,15798,36-45
32546,Male,23,7320,18-25
30046,Male,35,14398,26-35
30163,Male,37,19860,36-45
31402,Male,61,16776,46-65
7715,Male,21,21372,18-25
6851,Male,22,26427,18-25
6534,Male,56,16187,46-65
7724,Male,37,22981,36-45
6548,Male,20,10492,18-25
6353,Male,38,22207,36-45
8378,Male,33,9150,26-35
8684,Male,23,3702,18-25
8356,Male,62,13818,46-65
7191,Male,33,2556,26-35
7060,Male,21,22855,18-25
6229,Male,55,13689,46-65
6857,Male,20,6159,18-25
7147,Male,18,19580,18-25
8942,Male,59,23090,46-65
6497,Male,48,10646,46-65
8617,Male,30,12103,26-35
7492,Male,24,9001,18-25
7326,Male,40,22746,36-45
7936,Male,60,9678,46-65
7500,Male,30,22859,26-35
6167,Male,37,13588,36-45
6553,Male,28,8625,26-35
6539,Male,38,6978,36-45
7359,Male,18,20041,18-25
6788,Male,19,6217,18-25
7315,Male,27,21374,26-35
8535,Male,27,12841,26-35
7213,Male,20,19790,18-25
8186,Male,55,9269,46-65
6266,Male,39,19780,36-45
7502,Male,55,17173,46-65
7705,Male,19,22979,18-25
7772,Male,32,4118,26-35
8117,Male,21,5946,18-25
8546,Male,63,8839,46-65
7178,Male,23,8279,18-25
7789,Male,37,9617,36-45
8757,Male,47,18320,46-65
8367,Male,26,22110,26-35
6664,Male,54,9735,46-65
7624,Male,42,4606,36-45
7076,Male,21,9699,18-25
7821,Male,47,23569,46-65
8755,Male,39,24760,36-45
6431,Male,31,20130,26-35
7522,Male,34,13430,26-35
7674,Male,38,3326,36-45
7935,Male,20,2952,18-25
7124,Male,29,15866,26-35
7474,Male,20,23393,18-25
6107,Male,49,24472,46-65
8968,Male,46,11668,46-65
7552,Male,33,3370,26-35
8507,Male,58,14900,46-65
7335,Male,28,10290,26-35
7819,Male,18,2429,18-25
7877,Male,27,34889,26-35
7176,Male,38,14241,36-45
6148,Male,57,19381,46-65
7871,Male,37,23543,36-45
8405,Male,31,16038,26-35
7439,Male,23,2173,18-25
7452,Male,23,29672,18-25
7986,Male,31,2310,26-35
7031,Male,18,21760,18-25
8770,Male,32,5948,26-35
6801,Male,29,4109,26-35
8946,Male,40,17996,36-45
8165,Male,24,4135,18-25
6977,Male,19,23695,18-25
6377,Male,25,20552,18-25
8435,Male,34,20623,26-35
7398,Male,63,15725,46-65
7975,Male,18,12282,18-25
7156,Male,38,4983,36-45
7931,Male,22,18836,18-25
6832,Male,61,22804,46-65
8293,Male,20,15739,18-25
8454,Male,20,14766,18-25
8042,Male,32,18995,26-35
6363,Male,22,4276,18-25
6004,Male,47,17861,46-65
7835,Male,52,12609,46-65
7976,Male,30,20847,26-35
6588,Male,21,21108,18-25
7538,Male,64,11203,46-65
7777,Male,56,9132,46-65
7639,Male,23,19825,18-25
6624,Male,37,8794,36-45
7645,Male,65,14715,46-65
7333,Male,36,19778,36-45
7073,Male,26,13150,26-35
8839,Male,39,22107,36-45
8867,Male,19,19168,18-25
7017,Male,41,20204,36-45
6914,Male,30,11120,26-35
8936,Male,25,22555,18-25
8908,Male,44,11925,36-45
7564,Male,36,17472,36-45
6572,Male,37,2407,36-45
7904,Male,33,20086,26-35
7233,Male,50,9174,46-65
8694,Male,44,2158,36-45
8571,Male,24,18581,18-25
6952,Male,27,18063,26-35
9841,Male,52,23814,46-65
11656,Male,49,20988,46-65
9198,Male,44,18094,36-45
10454,Male,39,13257,36-45
9665,Male,40,11309,36-45
54825,Male,28,6216,26-35
54218,Male,49,14640,46-65
2407,Male,32,19435,26-35
695,Male,20,7759,18-25
2735,Male,33,12911,26-35
2769,Male,28,4257,26-35
1960,Male,24,4236,18-25
2153,Male,18,8193,18-25
1946,Male,24,10602,18-25
741,Male,35,17486,26-35
1604,Male,32,3648,26-35
2543,Male,18,3113,18-25
246,Male,26,25731,26-35
901,Male,36,20574,36-45
1111,Male,42,9719,36-45
2302,Male,65,24340,46-65
1380,Male,18,10599,18-25
2876,Male,30,5162,26-35
1628,Male,26,5460,26-35
818,Male,18,8653,18-25
2578,Male,28,29241,26-35
1797,Male,24,12592,18-25
2814,Male,64,22395,46-65
1829,Male,22,30621,18-25
726,Male,36,20617,36-45
2933,Male,32,14090,26-35
1249,Male,18,7027,18-25
1201,Male,29,23462,26-35
2519,Male,52,5107,46-65
2672,Male,27,3502,26-35
1865,Male,32,8060,26-35
1179,Male,45,16798,36-45
1566,Male,20,30276,18-25
1022,Male,20,22359,18-25
2491,Male,19,11188,18-25
486,Male,21,14416,18-25
469,Male,58,18203,46-65
1555,Male,19,3764,18-25
2964,Male,24,13846,18-25
816,Male,25,22209,18-25
1048,Male,32,21837,26-35
2819,Male,35,24734,26-35
455,Male,44,2514,36-45
919,Male,21,5334,18-25
957,Male,61,4347,46-65
2203,Male,40,6477,36-45
9,Male,32,21212,26-35
1066,Male,22,19150,18-25
2541,Male,22,17890,18-25
1981,Male,30,19349,26-35
951,Male,27,15699,26-35
2609,Male,31,31091,26-35
2265,Male,33,24868,26-35
2760,Male,21,4399,18-25
2404,Male,38,5326,36-45
857,Male,22,11438,18-25
838,Male,32,16766,26-35
1859,Male,31,16502,26-35
2192,Male,33,6131,26-35
1250,Male,64,17883,46-65
268,Male,31,3273,26-35
364,Male,22,14673,18-25
1233,Male,31,16514,26-35
804,Male,24,7333,18-25
1405,Male,64,12353,46-65
2911,Male,57,13404,46-65
1301,Male,65,6135,46-65
376,Male,21,6788,18-25
2238,Male,30,9460,26-35
475,Male,36,9959,36-45
2545,Male,37,19803,36-45
997,Male,26,20830,26-35
2171,Male,31,13937,26-35
912,Male,36,8737,36-45
112,Male,33,19344,26-35
2757,Male,25,31030,18-25
2829,Male,46,3161,46-65
105,Male,31,16003,26-35
2595,Male,21,10439,18-25
2222,Male,22,11081,18-25
1922,Male,33,2897,26-35
849,Male,65,18577,46-65
2794,Male,59,5342,46-65
2605,Male,26,30483,26-35
1698,Male,23,22120,18-25
1482,Male,20,12328,18-25
1600,Male,35,20019,26-35
2671,Male,48,20884,46-65
1934,Male,31,17820,26-35
683,Male,53,31517,46-65
1774,Male,35,30994,26-35
732,Male,48,8214,46-65
330,Male,58,18152,46-65
718,Male,53,17902,46-65
2207,Male,39,17491,36-45
1330,Male,29,15828,26-35
2001,Male,35,8512,26-35
1995,Male,24,17978,18-25
1073,Male,21,20197,18-25
639,Male,20,17060,18-25
2041,Male,37,34732,36-45
783,Male,62,21851,46-65
2487,Male,26,15352,26-35
2437,Male,25,24315,18-25
2596,Male,61,16592,46-65
2682,Male,36,15280,36-45
195,Male,40,17940,36-45
2978,Male,21,20382,18-25
2824,Male,26,12204,26-35
761,Male,49,6315,46-65
1693,Male,42,20746,36-45
2731,Male,20,22350,18-25
676,Male,23,12921,18-25
2863,Male,19,12524,18-25
2585,Male,32,8224,26-35
1338,Male,18,10924,18-25
1918,Male,41,22768,36-45
2751,Male,18,13200,18-25
2355,Male,28,24477,26-35
1270,Male,36,21493,36-45
2500,Male,25,20812,18-25
748,Male,22,8948,18-25
999,Male,30,5886,26-35
815,Male,18,9253,18-25
958,Male,24,22014,18-25
2067,Male,23,7236,18-25
1808,Male,59,18999,46-65
1144,Male,20,10707,18-25
439,Male,22,5494,18-25
421,Male,59,22830,46-65
1904,Male,38,18859,36-45
1999,Male,23,12356,18-25
2544,Male,27,6822,26-35
1464,Male,19,21740,18-25
2506,Male,51,23235,46-65
45,Male,21,19990,18-25
1047,Male,62,3419,46-65
1294,Male,25,11715,18-25
2593,Male,33,9725,26-35
1020,Male,48,21007,46-65
1540,Male,18,20839,18-25
1906,Male,51,4074,46-65
257,Male,21,8518,18-25
2343,Male,34,10972,26-35
959,Male,27,16377,26-35
1779,Male,18,15039,18-25
930,Male,52,22347,46-65
2659,Male,39,23131,36-45
441,Male,28,12989,26-35
1520,Male,18,14187,18-25
1305,Male,27,2750,26-35
1438,Male,36,9227,36-45
1062,Male,25,5645,18-25
1461,Male,25,7567,18-25
320,Male,46,6112,46-65
1526,Male,26,15413,26-35
1422,Male,38,16656,36-45
2616,Male,28,23620,26-35
85,Male,19,19765,18-25
2773,Male,44,30848,36-45
2677,Male,20,2456,18-25
2270,Male,37,23770,36-45
